name,class
acyclovir,antibiotic
amikacin,antibiotic
amoxicillin,antibiotic
amphotericin,antibiotic
ampicillin,antibiotic
azithromycin,antibiotic
aztreonam,antibiotic
cefazolin,antibiotic
cefepime,antibiotic
cefotaxime,antibiotic
cefoxitin,antibiotic
ceftaroline,antibiotic
ceftazidime,antibiotic
ceftolozane,antibiotic
ceftriaxone,antibiotic
cefuroxime,antibiotic
cephalexin,antibiotic
ciprofloxacin,antibiotic
clindamycin,antibiotic
colistimethate,antibiotic
cyclosporine,antibiotic
dalbavancin,antibiotic
dalfopristin,antibiotic
daptomycin,antibiotic
doripenem,antibiotic
doxycycline,antibiotic
ertapenem,antibiotic
erythromycin,antibiotic
fluconazole,antibiotic
gentamicin,antibiotic
imipenem,antibiotic
isavuconazonium,antibiotic
levofloxacin,antibiotic
linezolid,antibiotic
meropenem,antibiotic
metronidazole,antibiotic
micafungin,antibiotic
minocycline,antibiotic
moxifloxacin,antibiotic
nafcillin,antibiotic
oseltamivir,antibiotic
oxacillin,antibiotic
penicillin,antibiotic
pentamidine isethionate,antibiotic
peramivir,antibiotic
piperacillin,antibiotic
polymyxin,antibiotic
rifampin,antibiotic
sulfamethoxazole-trimethoprim,antibiotic
telavancin,antibiotic
ticarcillin-clavulanate,antibiotic
tigecycline,antibiotic
tobramycin,antibiotic
vancomycin,antibiotic
voriconazole,antibiotic
zanamivir,antibiotic
zidovudine,antibiotic